"","final","sprinkles","bike"
"966","Yes","No","No"
"967","Yes","No","No"
"968","No","No","No"
"969","No","No","No"
"970","Yes","No","No"
"971","No","No","No"
"972","No","No","Yes"
"973","No","Yes","No"
"974","Yes","Yes","Yes"
"975","No","No","Yes"
"976","Yes","Yes","No"
"977","No","No","No"
"978","No","No","Yes"
"979","Yes","No","No"
"980","No","No","Yes"
"981","No","No","Yes"
"982","No","No","Yes"
"983","No","No","Yes"
"984","No","No","No"
"985","No","No","No"
"986","No","No","Yes"
"987","No","No","Yes"
"988","No","No","Yes"
"989","No","No","No"
"990","No","Yes","Yes"
"991","No","No","Yes"
"992","No","No","Yes"
"993","No","No","No"
"994","No","No","No"
"995","Yes","Yes","Yes"
"996","Yes","No","No"
"997","No","No","Yes"
"998","Yes","No","No"
"999","No","Yes","Yes"
"1000","No","Yes","No"
